#{"t_start": 1744104159.0435402, "env_id": "None"}
r,l,t
11.0,11,1.785227
14.0,14,1.785227
19.0,19,1.793455
31.0,31,1.793455
39.0,39,1.809397
19.0,19,1.809397
23.0,23,1.825127
16.0,16,1.825127
49.0,49,1.825127
11.0,11,1.825127
13.0,13,1.841194
20.0,20,1.841194
11.0,11,1.841194
11.0,11,1.848053
21.0,21,1.848053
13.0,13,1.861342
24.0,24,1.873003
19.0,19,1.873003
42.0,42,1.885766
44.0,44,1.905263
17.0,17,1.921786
35.0,35,1.921786
45.0,45,1.927266
13.0,13,1.930057
22.0,22,1.944074
10.0,10,1.950238
75.0,75,1.953954
29.0,29,1.955961
37.0,37,1.955961
10.0,10,1.976217
27.0,27,1.983813
30.0,30,1.98917
9.0,9,1.994571
16.0,16,1.997583
22.0,22,2.01786
18.0,18,2.01786
24.0,24,2.01786
16.0,16,2.035643
62.0,62,2.049641
12.0,12,2.058585
17.0,17,2.065401
14.0,14,2.065401
20.0,20,2.083291
56.0,56,2.084636
59.0,59,2.084636
22.0,22,2.098348
26.0,26,2.098348
10.0,10,2.098348
21.0,21,2.098348
17.0,17,2.11325
31.0,31,2.128899
37.0,37,2.128899
19.0,19,2.128899
46.0,46,2.128899
11.0,11,2.145016
25.0,25,2.153516
12.0,12,2.155426
9.0,9,2.162057
9.0,9,2.162057
45.0,45,2.177185
10.0,10,2.177185
28.0,28,2.177185
27.0,27,2.177185
50.0,50,2.193051
21.0,21,2.209183
13.0,13,2.215725
34.0,34,2.215725
33.0,33,2.215725
11.0,11,2.224903
47.0,47,2.233015
15.0,15,2.233015
19.0,19,2.24096
14.0,14,2.251594
14.0,14,2.256566
13.0,13,2.256566
43.0,43,2.272806
24.0,24,2.272806
58.0,58,2.288173
21.0,21,2.288173
17.0,17,2.304137
54.0,54,2.304137
17.0,17,2.304137
28.0,28,2.304137
19.0,19,2.319962
25.0,25,2.319962
32.0,32,2.319962
42.0,42,2.33567
15.0,15,2.33567
15.0,15,2.351581
12.0,12,2.351581
26.0,26,2.367357
48.0,48,2.367357
20.0,20,2.383278
27.0,27,2.383278
30.0,30,2.383278
16.0,16,2.383278
13.0,13,2.399362
13.0,13,2.399362
95.0,95,2.399362
18.0,18,2.41604
15.0,15,2.41604
15.0,15,2.41604
30.0,30,2.41604
12.0,12,2.431562
13.0,13,2.433115
23.0,23,2.433115
16.0,16,2.445133
30.0,30,2.445133
21.0,21,2.45235
14.0,14,2.458008
12.0,12,2.46056
27.0,27,2.46056
11.0,11,2.46056
16.0,16,2.477611
43.0,43,2.492514
29.0,29,2.492514
62.0,62,2.492514
14.0,14,2.492514
35.0,35,2.508449
23.0,23,2.508449
27.0,27,2.508449
17.0,17,2.508449
25.0,25,2.524411
21.0,21,2.524411
16.0,16,2.524411
23.0,23,2.540245
32.0,32,2.540245
20.0,20,2.540245
11.0,11,2.556334
29.0,29,2.556334
30.0,30,2.556334
15.0,15,2.556334
34.0,34,2.572108
20.0,20,2.572108
21.0,21,2.572108
33.0,33,2.587882
17.0,17,2.587882
10.0,10,2.587882
26.0,26,2.603719
36.0,36,2.603719
23.0,23,2.603719
29.0,29,2.619459
20.0,20,2.619459
22.0,22,2.619459
17.0,17,2.619459
23.0,23,2.635196
23.0,23,2.635196
18.0,18,2.635196
13.0,13,2.635196
26.0,26,2.635196
16.0,16,2.651049
13.0,13,2.651049
16.0,16,2.651049
11.0,11,2.651049
25.0,25,2.667147
21.0,21,2.667147
21.0,21,2.667147
48.0,48,2.682943
15.0,15,2.682943
30.0,30,2.698605
21.0,21,2.698605
39.0,39,2.698605
33.0,33,2.716492
20.0,20,2.716492
33.0,33,2.716492
41.0,41,2.730623
27.0,27,2.730623
25.0,25,2.74637
32.0,32,2.74637
15.0,15,2.74637
24.0,24,2.74637
19.0,19,2.762491
33.0,33,2.762491
23.0,23,2.762491
18.0,18,2.779003
13.0,13,2.779003
16.0,16,2.779003
10.0,10,2.796358
12.0,12,2.796358
56.0,56,2.796358
14.0,14,2.809663
18.0,18,2.809663
47.0,47,2.809663
17.0,17,2.809663
11.0,11,2.825623
16.0,16,2.825623
32.0,32,2.825623
12.0,12,2.84127
14.0,14,2.84127
18.0,18,2.857141
70.0,70,2.861971
21.0,21,2.872836
36.0,36,2.872836
24.0,24,2.88857
16.0,16,2.88857
13.0,13,2.88857
11.0,11,2.904274
45.0,45,2.904274
10.0,10,2.904274
17.0,17,2.904274
53.0,53,2.920382
38.0,38,2.936453
21.0,21,2.936453
26.0,26,2.936453
18.0,18,2.952225
29.0,29,2.952225
57.0,57,2.952225
35.0,35,2.952225
11.0,11,2.969285
17.0,17,2.977333
19.0,19,2.977333
20.0,20,2.977333
12.0,12,2.985372
23.0,23,2.996828
17.0,17,2.996828
17.0,17,2.996828
35.0,35,2.996828
14.0,14,2.996828
16.0,16,3.012406
17.0,17,3.018439
13.0,13,3.018439
18.0,18,3.018439
16.0,16,3.027559
14.0,14,3.027559
9.0,9,3.027559
22.0,22,3.027559
26.0,26,3.041299
28.0,28,3.057157
32.0,32,3.057157
14.0,14,3.057157
12.0,12,3.073812
36.0,36,3.087063
74.0,74,3.087063
17.0,17,3.088798
30.0,30,3.088798
12.0,12,3.088798
15.0,15,3.104581
12.0,12,3.106997
17.0,17,3.110643
31.0,31,3.110643
23.0,23,3.136136
35.0,35,3.136136
39.0,39,3.146511
14.0,14,3.150286
43.0,43,3.15248
12.0,12,3.15248
24.0,24,3.157546
12.0,12,3.167892
22.0,22,3.174465
29.0,29,3.174465
13.0,13,3.189957
25.0,25,3.190645
43.0,43,3.200295
11.0,11,3.200295
14.0,14,3.20511
17.0,17,3.216468
23.0,23,3.220235
10.0,10,3.222814
10.0,10,3.231617
17.0,17,3.231617
12.0,12,3.242215
16.0,16,3.247318
30.0,30,3.247318
87.0,87,3.25016
11.0,11,3.255386
18.0,18,3.262446
16.0,16,3.262446
26.0,26,3.266517
17.0,17,3.271991
13.0,13,3.271991
19.0,19,3.278572
23.0,23,3.294708
19.0,19,3.297009
30.0,30,3.300338
11.0,11,3.308135
46.0,46,3.310478
14.0,14,3.310478
9.0,9,3.318223
20.0,20,3.320739
13.0,13,3.323621
23.0,23,3.330984
16.0,16,3.337386
22.0,22,3.341658
27.0,27,3.361777
21.0,21,3.366305
25.0,25,3.366305
52.0,52,3.373734
11.0,11,3.373734
11.0,11,3.37898
12.0,12,3.37898
15.0,15,3.392392
14.0,14,3.392392
20.0,20,3.392392
9.0,9,3.407213
19.0,19,3.411007
42.0,42,3.416731
14.0,14,3.416731
20.0,20,3.421354
21.0,21,3.421354
